Node ID, Distance (m), Lat, Lon
1291657312, 10635.88, 41.46544, 2.17309 
318313912, 10687.66, 41.46567, 2.17255 
318313913, 10747.91, 41.46605, 2.17203 
1291657315, 10908.98, 41.46711, 2.17071 
318313914, 11098.02, 41.46835, 2.16916 
318313915, 11173.70, 41.46891, 2.16865 
318313916, 11274.10, 41.46972, 2.16812 
318313917, 11463.85, 41.47126, 2.16713 
1291657314, 11546.16, 41.47193, 2.16671 
318313918, 11621.62, 41.47254, 2.16631 
318313919, 11671.47, 41.47297, 2.16614 
1291655781, 11682.74, 41.47307, 2.16614 
1291655780, 11712.48, 41.47334, 2.16615 
1291655787, 11732.35, 41.47352, 2.16619 
1291655796, 11747.60, 41.47365, 2.16623 
1291656157, 11755.57, 41.47372, 2.16626 
1291656153, 11785.84, 41.47397, 2.16640 
1415984123, 11850.14, 41.47450, 2.16669 
1291656159, 11867.26, 41.47465, 2.16676 
1291656149, 11916.89, 41.47507, 2.16697 
318313922, 11975.31, 41.47557, 2.16718 
1415984092, 12103.58, 41.47663, 2.16777 
318313924, 12138.55, 41.47693, 2.16789 
318313925, 12163.55, 41.47716, 2.16788 
318313927, 12368.02, 41.47894, 2.16728 
318313928, 12410.68, 41.47931, 2.16712 
1291643034, 12437.04, 41.47951, 2.16696 
318313929, 12469.53, 41.47973, 2.16670 
391422471, 12606.33, 41.48059, 2.16553 
318313930, 12664.20, 41.48095, 2.16503 
318313931, 12712.11, 41.48124, 2.16460 
1222016337, 12949.37, 41.48274, 2.16257 
1222016365, 13016.38, 41.48317, 2.16201 
318313932, 13101.97, 41.48369, 2.16126 
376695448, 13248.99, 41.48464, 2.16002 
1296611086, 13257.64, 41.48469, 2.15994 
318313933, 13316.76, 41.48505, 2.15942 
476822892, 13331.63, 41.48514, 2.15929 
476823143, 13418.99, 41.48567, 2.15852 
656729998, 13425.52, 41.48571, 2.15846 
656813374, 13520.34, 41.48631, 2.15765 
603342995, 13767.52, 41.48786, 2.15552 
318313934, 13800.09, 41.48806, 2.15524 
324229394, 13843.39, 41.48832, 2.15484 
318313935, 13914.17, 41.48876, 2.15423 
318313936, 14201.32, 41.49057, 2.15178 
318313937, 14311.13, 41.49132, 2.15092 
357128808, 14357.05, 41.49161, 2.15052 
