Node ID, Distance (m), Lat, Lon
1066620306, 7387.95, 41.34999, 2.11501 
1118396240, 7569.37, 41.34837, 2.11484 
1066620305, 7982.51, 41.34466, 2.11449 
1066620303, 8050.88, 41.34404, 2.11446 
1066620302, 8354.72, 41.34132, 2.11417 
1066620300, 8416.05, 41.34077, 2.11408 
1066620299, 8482.34, 41.34022, 2.11378 
1066620298, 8553.63, 41.33966, 2.11337 
1066620297, 8617.98, 41.33919, 2.11292 
1066620294, 8678.99, 41.33879, 2.11242 
1066620290, 8749.18, 41.33839, 2.11178 
1066620289, 8832.70, 41.33800, 2.11092 
1066620285, 8910.95, 41.33770, 2.11007 
1066620278, 9126.64, 41.33684, 2.10776 
1066620277, 9405.14, 41.33587, 2.10468 
1066620271, 9495.97, 41.33553, 2.10369 
1066620653, 9746.36, 41.33461, 2.10095 
1066620743, 10023.45, 41.33361, 2.09791 
1066620742, 10449.57, 41.33194, 2.09332 
1066620735, 10719.80, 41.33093, 2.09038 
1066620733, 10987.25, 41.32992, 2.08747 
1066620731, 11106.77, 41.32949, 2.08616 
1066620730, 11221.03, 41.32906, 2.08491 
1066620728, 11494.76, 41.32804, 2.08193 
1118396194, 11647.03, 41.32747, 2.08027 
1066620726, 11809.78, 41.32686, 2.07850 
1066620723, 12376.11, 41.32477, 2.07232 
1066620721, 12762.03, 41.32328, 2.06814 
1066620716, 13116.46, 41.32195, 2.06428 
1066620715, 13583.88, 41.32019, 2.05920 
1066620713, 13700.91, 41.31974, 2.05793 
1066620708, 13777.64, 41.31943, 2.05711 
1066620704, 13798.04, 41.31937, 2.05688 
1066620702, 14126.29, 41.31816, 2.05330 
1066620700, 14555.90, 41.31655, 2.04862 
1066620698, 15214.37, 41.31411, 2.04144 
1066620696, 15632.84, 41.31249, 2.03691 
1066620695, 15997.60, 41.31114, 2.03293 
1066620694, 16497.05, 41.30928, 2.02749 
1066620692, 16669.66, 41.30863, 2.02561 
1066620691, 16995.86, 41.30742, 2.02206 
