Node ID: 1118396240,  Distance: 7569.37 m
Node ID: 1066620305,  Distance: 7982.51 m
Node ID: 1066620303,  Distance: 8050.88 m
Node ID: 1066620302,  Distance: 8354.72 m
Node ID: 1066620300,  Distance: 8416.05 m
Node ID: 1066620299,  Distance: 8482.34 m
Node ID: 1066620298,  Distance: 8553.63 m
Node ID: 1066620297,  Distance: 8617.98 m
Node ID: 1066620294,  Distance: 8678.99 m
Node ID: 1066620290,  Distance: 8749.18 m
Node ID: 1066620289,  Distance: 8832.70 m
Node ID: 1066620285,  Distance: 8910.95 m
Node ID: 1066620278,  Distance: 9126.64 m
Node ID: 1066620277,  Distance: 9405.14 m
Node ID: 1066620271,  Distance: 9495.97 m
Node ID: 1066620653,  Distance: 9746.36 m
Node ID: 1066620743,  Distance: 10023.45 m
Node ID: 1066620742,  Distance: 10449.57 m
Node ID: 1066620735,  Distance: 10719.80 m
Node ID: 1066620733,  Distance: 10987.25 m
Node ID: 1066620731,  Distance: 11106.77 m
Node ID: 1066620730,  Distance: 11221.03 m
Node ID: 1066620728,  Distance: 11494.76 m
Node ID: 1118396194,  Distance: 11647.03 m
Node ID: 1066620726,  Distance: 11809.78 m
Node ID: 1066620723,  Distance: 12376.11 m
Node ID: 1066620721,  Distance: 12762.03 m
Node ID: 1066620716,  Distance: 13116.46 m
Node ID: 1066620715,  Distance: 13583.88 m
Node ID: 1066620713,  Distance: 13700.91 m
Node ID: 1066620708,  Distance: 13777.64 m
Node ID: 1066620704,  Distance: 13798.04 m
Node ID: 1066620702,  Distance: 14126.29 m
Node ID: 1066620700,  Distance: 14555.90 m
Node ID: 1066620698,  Distance: 15214.37 m
Node ID: 1066620696,  Distance: 15632.84 m
Node ID: 1066620695,  Distance: 15997.60 m
Node ID: 1066620694,  Distance: 16497.05 m
Node ID: 1066620692,  Distance: 16669.66 m
Node ID: 1066620691,  Distance: 16995.86 m
Node ID: 1324546086,  Distance: 17517.81 m
Node ID: 1324546035,  Distance: 17565.77 m
Node ID: 1324546060,  Distance: 17659.22 m
Node ID: 1324546045,  Distance: 17723.46 m
Node ID: 1324546074,  Distance: 17809.04 m
Node ID: 1324546076,  Distance: 17908.11 m
Node ID: 1324546048,  Distance: 17967.47 m
Node ID: 1324546044,  Distance: 18046.46 m
Node ID: 1324546073,  Distance: 18120.01 m
Node ID: 1324546047,  Distance: 18165.72 m
Node ID: 1324546051,  Distance: 18223.67 m
Node ID: 1324546041,  Distance: 18296.27 m
Node ID: 1066620686,  Distance: 18355.22 m
Node ID: 1066620685,  Distance: 18619.66 m
Node ID: 1066620683,  Distance: 19070.44 m
Node ID: 1066620681,  Distance: 19231.77 m
Node ID: 1066620680,  Distance: 19272.34 m
Node ID: 1066620904,  Distance: 19467.34 m
Node ID: 1066620901,  Distance: 19880.40 m
Node ID: 1066620894,  Distance: 20093.10 m
Node ID: 1066620878,  Distance: 20120.98 m
Node ID: 1066620875,  Distance: 20314.21 m
Node ID: 1066620872,  Distance: 21069.83 m
